Country,Population2000,Population2019,PopulationGrowth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,20.8,38,3.2,20800000,21465600,22152499,22861379,23592943,24347917,25127051,25931116,26760912,27617261,28501014,29413046,30354264,31325600,32328019,33362516
Albania,3.1,2.9,-0.4,3100000,3087600,3075250,3062949,3050697,3038494,3026340,3014235,3002178,2990169,2978208,2966296,2954430,2942613,2930842,2919119
Algeria,31,43.1,1.7,31000000,31527000,32062959,32608029,33162366,33726126,34299470,34882561,35475565,36078649,36691986,37315750,37950118,38595270,39251389,39918663
American Samoa,0.1,0.1,-0.2,100000,99800,99600,99401,99202,99004,98806,98608,98411,98214,98018,97822,97626,97431,97236,97042
Andorra,0.1,0.1,0.9,100000,100900,101808,102724,103649,104582,105523,106473,107431,108398,109373,110358,111351,112353,113364,114385
Angola,16.4,31.8,3.5,16400000,16974000,17568090,18182973,18819377,19478055,20159787,20865380,21595668,22351517,23133820,23943503,24781526,25648879,26546590,27475721
Antigua and Barbuda,0.1,0.1,1.3,100000,101300,102617,103951,105302,106671,108058,109463,110886,112327,113787,115267,116765,118283,119821,121378
Argentina,36.9,44.9,1,36900000,37269000,37641690,38018107,38398288,38782271,39170094,39561794,39957412,40356987,40760556,41168162,41579844,41995642,42415598,42839754
Armenia,3.1,3,-0.2,3100000,3093800,3087612,3081437,3075274,3069124,3062986,3056860,3050746,3044644,3038555,3032478,3026413,3020360,3014319,3008291
Aruba,0.1,0.1,0.8,100000,100800,101606,102419,103239,104065,104897,105736,106582,107435,108294,109161,110034,110914,111801,112696
Australia,19.2,25.4,1.5,19200000,19488000,19780320,20077025,20378180,20683853,20994111,21309022,21628658,21953088,22282384,22616620,22955869,23300207,23649710,24004456
Austria,8,8.9,0.5,8000000,8040000,8080200,8120601,8161204,8202010,8243020,8284235,8325656,8367285,8409121,8451167,8493422,8535890,8578569,8621462
Azerbaijan,8,10,1.2,8000000,8096000,8193152,8291470,8390967,8491659,8593559,8696682,8801042,8906654,9013534,9121697,9231157,9341931,9454034,9567482
"Bahamas, The",0.3,0.4,1.4,300000,304200,308459,312777,317156,321596,326099,330664,335293,339987,344747,349574,354468,359430,364462,369565
Bahrain,0.7,1.6,4.8,700000,733600,768813,805716,844390,884921,927397,971912,1018564,1067455,1118693,1172390,1228665,1287641,1349448,1414221
Bangladesh,127.7,163,1.3,127700000,129360100,131041781,132745324,134471014,136219137,137989986,139783855,141601046,143441859,145306603,147195589,149109132,151047551,153011169,155000314
Barbados,0.3,0.3,0.3,300000,300900,301803,302708,303616,304527,305441,306357,307276,308198,309122,310050,310980,311913,312849,313787
Belarus,10,9.4,-0.3,10000000,9970000,9940090,9910270,9880539,9850897,9821345,9791881,9762505,9733217,9704018,9674906,9645881,9616943,9588093,9559328
Belgium,10.3,11.5,0.6,10300000,10361800,10423971,10486515,10549434,10612730,10676407,10740465,10804908,10869737,10934956,11000566,11066569,11132968,11199766,11266965
Belize,0.2,0.4,2.4,200000,204800,209715,214748,219902,225180,230584,236118,241785,247588,253530,259615,265846,272226,278759,285450
Benin,6.9,11.8,2.9,6900000,7100100,7306003,7517877,7735895,7960236,8191083,8428625,8673055,8924573,9183386,9449704,9723746,10005734,10295901,10594482
Bermuda,0.1,0.1,0.2,100000,100200,100400,100601,100802,101004,101206,101408,101611,101814,102018,102222,102427,102631,102837,103042
Bhutan,0.6,0.8,1.3,600000,607800,615701,623706,631814,640027,648348,656776,665314,673963,682725,691600,700591,709699,718925,728271
Bolivia,8.4,11.5,1.6,8400000,8534400,8670950,8809686,8950641,9093851,9239352,9387182,9537377,9689975,9845015,10002535,10162575,10325177,10490379,10658226
Bosnia and Herzegovina,3.8,3.3,-0.7,3800000,3773400,3746986,3720757,3694712,3668849,3643167,3617665,3592341,3567195,3542224,3517429,3492807,3468357,3444079,3419970
Botswana,1.6,2.3,1.8,1600000,1628800,1658118,1687965,1718348,1749278,1780765,1812819,1845450,1878668,1912484,1946908,1981953,2017628,2053945,2090916
Brazil,174.8,211,1,174800000,176548000,178313480,180096615,181897581,183716557,185553722,187409260,189283352,191176186,193087948,195018827,196969015,198938705,200928092,202937373
Brunei Darussalam,0.3,0.4,1.4,300000,304200,308459,312777,317156,321596,326099,330664,335293,339987,344747,349574,354468,359430,364462,369565
Bulgaria,8.2,7,-0.8,8200000,8134400,8069325,8004770,7940732,7877206,7814189,7751675,7689662,7628144,7567119,7506582,7446530,7386957,7327862,7269239
Burkina Faso,11.6,20.3,2.9,11600000,11936400,12282556,12638750,13005273,13382426,13770517,14169862,14580788,15003631,15438736,15886459,16347167,16821234,17309050,17811013
Burundi,6.4,11.5,3.1,6400000,6598400,6802950,7013842,7231271,7455440,7686559,7924842,8170512,8423798,8684936,8954169,9231748,9517933,9812988,10117191
Cabo Verde,0.4,0.5,1.3,400000,405200,410468,415804,421209,426685,432232,437851,443543,449309,455150,461067,467061,473132,479283,485514
Cambodia,12.2,16.5,1.6,12200000,12395200,12593523,12795020,12999740,13207736,13419059,13633764,13851905,14073535,14298712,14527491,14759931,14996090,15236027,15479804
Cameroon,15.5,25.9,2.7,15500000,15918500,16348300,16789704,17243026,17708587,18186719,18677761,19182060,19699976,20231875,20778136,21339145,21915302,22507015,23114705
Canada,30.7,37.6,1.1,30700000,31037700,31379115,31724285,32073252,32426058,32782745,33143355,33507932,33876519,34249161,34625901,35006786,35391861,35781171,36174764
Cayman Islands,0,0.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,3.6,4.7,1.4,3600000,3650400,3701506,3753327,3805873,3859155,3913184,3967968,4023520,4079849,4136967,4194884,4253613,4313163,4373548,4434777
Chad,8.4,15.9,3.4,8400000,8685600,8980910,9286261,9601994,9928462,10266030,10615075,10975987,11349171,11735043,12134034,12546591,12973175,13414263,13870348
Channel Islands,0.1,0.2,0.8,100000,100800,101606,102419,103239,104065,104897,105736,106582,107435,108294,109161,110034,110914,111801,112696
Chile,15.3,19,1.1,15300000,15468300,15638451,15810474,15984389,16160218,16337980,16517698,16699393,16883086,17068800,17256557,17446379,17638289,17832310,18028466
China,"1,262.60","1,397.70",0.5,1262600000,1268913000,1275257565,1281633853,1288042022,1294482232,1300954643,1307459417,1313996714,1320566697,1327169531,1333805378,1340474405,1347176777,1353912661,1360682224
"Hong Kong SAR, China",6.7,7.5,0.6,6700000,6740200,6780641,6821325,6862253,6903427,6944847,6986516,7028435,7070606,7113030,7155708,7198642,7241834,7285285,7328996
"Macao SAR, China",0.4,0.6,2.1,400000,408400,416976,425733,434673,443801,453121,462637,472352,482272,492399,502740,513297,524076,535082,546319
Colombia,39.6,50.3,1.3,39600000,40114800,40636292,41164564,41699704,42241800,42790943,43347225,43910739,44481579,45059839,45645617,46239010,46840117,47449039,48065877
Comoros,0.5,0.9,2.4,500000,512000,524288,536871,549756,562950,576461,590296,604463,618970,633825,649037,664614,680565,696898,713624
"Congo, Dem. Rep.",47.1,86.8,3.2,47100000,48607200,50162630,51767835,53424405,55133986,56898274,58719019,60598027,62537164,64538353,66603581,68734895,70934412,73204313,75546851
"Congo, Rep.",3.1,5.4,2.9,3100000,3189900,3282407,3377597,3475547,3576338,3680052,3786773,3896590,4009591,4125869,4245519,4368639,4495330,4625694,4759840
Costa Rica,4,5,1.3,4000000,4052000,4104676,4158037,4212091,4266848,4322317,4378508,4435428,4493089,4551499,4610668,4670607,4731325,4792832,4855139
Cote d'Ivoire,16.5,25.7,2.4,16500000,16896000,17301504,17716740,18141942,18577348,19023205,19479762,19947276,20426011,20916235,21418225,21932262,22458636,22997643,23549587
Croatia,4.5,4.1,-0.5,4500000,4477500,4455113,4432837,4410673,4388619,4366676,4344843,4323119,4301503,4279996,4258596,4237303,4216116,4195036,4174060
Cuba,11.1,11.3,0.1,11100000,11111100,11122211,11133333,11144467,11155611,11166767,11177933,11189111,11200301,11211501,11222712,11233935,11245169,11256414,11267671
Curacao,0.1,0.2,0.9,100000,100900,101808,102724,103649,104582,105523,106473,107431,108398,109373,110358,111351,112353,113364,114385
Cyprus,0.9,1.2,1.3,900000,911700,923552,935558,947721,960041,972521,985164,997971,1010945,1024087,1037400,1050887,1064548,1078387,1092406
Czech Republic,10.3,10.7,0.2,10300000,10320600,10341241,10361924,10382648,10403413,10424220,10445068,10465958,10486890,10507864,10528880,10549937,10571037,10592179,10613364
Denmark,5.3,5.8,0.4,5300000,5321200,5342485,5363855,5385310,5406851,5428479,5450193,5471993,5493881,5515857,5537920,5560072,5582312,5604642,5627060
Djibouti,0.7,1,1.6,700000,711200,722579,734140,745887,757821,769946,782265,794781,807498,820418,833545,846881,860431,874198,888185
Dominica,0.1,0.1,0.2,100000,100200,100400,100601,100802,101004,101206,101408,101611,101814,102018,102222,102427,102631,102837,103042
Dominican Republic,8.5,10.7,1.2,8500000,8602000,8705224,8809687,8915403,9022388,9130656,9240224,9351107,9463320,9576880,9691803,9808104,9925802,10044911,10165450
Ecuador,12.7,17.4,1.7,12700000,12915900,13135470,13358773,13585872,13816832,14051718,14290598,14533538,14780608,15031878,15287420,15547306,15811611,16080408,16353775
"Egypt, Arab Rep.",68.8,100.4,2,68800000,70176000,71579520,73011110,74471333,75960759,77479974,79029574,80610165,82222369,83866816,85544152,87255035,89000136,90780139,92595742
El Salvador,5.9,6.5,0.5,5900000,5929500,5959148,5988943,6018888,6048982,6079227,6109623,6140172,6170872,6201727,6232735,6263899,6295219,6326695,6358328
Equatorial Guinea,0.6,1.4,4.2,600000,625200,651458,678820,707330,737038,767994,800249,833860,868882,905375,943401,983023,1024310,1067331,1112159
Eritrea,2.3,..,..,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
Estonia,1.4,1.3,-0.3,1400000,1395800,1391613,1387438,1383275,1379126,1374988,1370863,1366751,1362650,1358562,1354487,1350423,1346372,1342333,1338306
Eswatini,1,1.1,0.7,1000000,1007000,1014049,1021147,1028295,1035493,1042742,1050041,1057391,1064793,1072247,1079752,1087311,1094922,1102586,1110304
Ethiopia,66.2,112.1,2.8,66200000,68053600,69959101,71917956,73931658,76001745,78129794,80317428,82566316,84878173,87254762,89697895,92209436,94791300,97445457,100173929
Faroe Islands,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0.8,0.9,0.5,800000,804000,808020,812060,816120,820201,824302,828424,832566,836728,840912,845117,849342,853589,857857,862146
Finland,5.2,5.5,0.3,5200000,5215600,5231247,5246941,5262681,5278469,5294305,5310188,5326118,5342097,5358123,5374197,5390320,5406491,5422710,5438978
France,60.9,67.1,0.5,60900000,61204500,61510523,61818075,62127165,62437801,62749990,63063740,63379059,63695954,64014434,64334506,64656179,64979460,65304357,65630879
French Polynesia,0.2,0.3,0.8,200000,201600,203213,204839,206477,208129,209794,211472,213164,214870,216588,218321,220068,221828,223603,225392
Gabon,1.2,2.2,3,1200000,1236000,1273080,1311272,1350611,1391129,1432863,1475849,1520124,1565728,1612700,1661081,1710913,1762240,1815108,1869561
"Gambia, The",1.3,2.3,3,1300000,1339000,1379170,1420545,1463161,1507056,1552268,1598836,1646801,1696205,1747091,1799504,1853489,1909094,1966367,2025358
Georgia,4.1,3.7,-0.5,4100000,4079500,4059103,4038807,4018613,3998520,3978527,3958635,3938841,3919147,3899552,3880054,3860654,3841350,3822143,3803033
Germany,82.2,83.1,0.1,82200000,82282200,82364482,82446847,82529294,82611823,82694435,82777129,82859906,82942766,83025709,83108735,83191843,83275035,83358310,83441669
Ghana,19.3,30.4,2.4,19300000,19763200,20237517,20723217,21220574,21729868,22251385,22785418,23332268,23892243,24465657,25052832,25654100,26269799,26900274,27545880
Greece,10.8,10.7,0,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000,10800000
Greenland,0.1,0.1,0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
Grenada,0.1,0.1,0.4,100000,100400,100802,101205,101610,102016,102424,102834,103245,103658,104073,104489,104907,105327,105748,106171
Guam,0.2,0.2,0.4,200000,200800,201603,202410,203219,204032,204848,205668,206490,207316,208146,208978,209814,210653,211496,212342
Guatemala,11.6,16.6,1.9,11600000,11820400,12044988,12273842,12507045,12744679,12986828,13233578,13485016,13741231,14002315,14268359,14539457,14815707,15097205,15384052
Guinea,8.2,12.8,2.3,8200000,8388600,8581538,8778913,8980828,9187387,9398697,9614867,9836009,10062237,10293669,10530423,10772623,11020393,11273862,11533161
Guinea-Bissau,1.2,1.9,2.5,1200000,1230000,1260750,1292269,1324575,1357690,1391632,1426423,1462083,1498636,1536101,1574504,1613867,1654213,1695569,1737958
Guyana,0.7,0.8,0.2,700000,701400,702803,704208,705617,707028,708442,709859,711279,712701,714127,715555,716986,718420,719857,721297
Haiti,8.5,11.3,1.5,8500000,8627500,8756913,8888266,9021590,9156914,9294268,9433682,9575187,9718815,9864597,10012566,10162754,10315196,10469924,10626973
Honduras,6.6,9.7,2.1,6600000,6738600,6880111,7024593,7172109,7322724,7476501,7633507,7793811,7957481,8124588,8295205,8469404,8647261,8828854,9014260
Hungary,10.2,9.8,-0.2,10200000,10179600,10159241,10138922,10118644,10098407,10078210,10058054,10037938,10017862,9997826,9977831,9957875,9937959,9918083,9898247
Iceland,0.3,0.4,1.3,300000,303900,307851,311853,315907,320014,324174,328388,332657,336982,341362,345800,350296,354849,359462,364135
India,"1,056.60","1,366.40",1.4,1056600000,1071392400,1086391894,1101601380,1117023799,1132662133,1148519402,1164598674,1180903056,1197435698,1214199798,1231198595,1248435376,1265913471,1283636259,1301607167
Indonesia,211.5,270.6,1.3,211500000,214249500,217034744,219856195,222714326,225609612,228542537,231513590,234523267,237572069,240660506,243789092,246958351,250168809,253421004,256715477
"Iran, Islamic Rep.",65.6,82.9,1.2,65600000,66387200,67183846,67990053,68805933,69631604,70467184,71312790,72168543,73034566,73910981,74797912,75695487,76603833,77523079,78453356
Iraq,23.5,39.3,2.7,23500000,24134500,24786132,25455357,26142652,26848503,27573413,28317895,29082478,29867705,30674133,31502335,32352898,33226426,34123540,35044875
Ireland,3.8,4.9,1.4,3800000,3853200,3907145,3961845,4017311,4073553,4130583,4188411,4247049,4306507,4366798,4427934,4489925,4552784,4616523,4681154
Isle of Man,0.1,0.1,0.5,100000,100500,101003,101508,102015,102525,103038,103553,104071,104591,105114,105640,106168,106699,107232,107768
Israel,6.3,9.1,1.9,6300000,6419700,6541674,6665966,6792619,6921679,7053191,7187202,7323759,7462910,7604705,7749195,7896429,8046462,8199344,8355132
Italy,56.9,60.3,0.3,56900000,57070700,57241912,57413638,57585879,57758636,57931912,58105708,58280025,58454865,58630230,58806121,58982539,59159486,59336965,59514976
Jamaica,2.7,2.9,0.6,2700000,2716200,2732497,2748892,2765386,2781978,2798670,2815462,2832355,2849349,2866445,2883643,2900945,2918351,2935861,2953476
Japan,126.8,126.3,0,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000
Jordan,5.1,10.1,3.6,5100000,5283600,5473810,5670867,5875018,6086519,6305633,6532636,6767811,7011452,7263864,7525364,7796277,8076943,8367713,8668950
Kazakhstan,14.9,18.5,1.1,14900000,15063900,15229603,15397129,15566497,15737728,15910843,16085863,16262807,16441698,16622557,16805405,16990264,17177157,17366106,17557133
Kenya,32,52.6,2.6,32000000,32832000,33685632,34561458,35460056,36382018,37327950,38298477,39294237,40315888,41364101,42439567,43542996,44675114,45836667,47028420
Kiribati,0.1,0.1,1.7,100000,101700,103429,105187,106975,108794,110643,112524,114437,116383,118361,120373,122420,124501,126617,128770
"Korea, Dem. People's Rep.",22.9,25.7,0.6,22900000,23037400,23175624,23314678,23454566,23595294,23736865,23879287,24022562,24166698,24311698,24457568,24604313,24751939,24900451,25049854
"Korea, Rep.",47,51.7,0.5,47000000,47235000,47471175,47708531,47947074,48186809,48427743,48669882,48913231,49157797,49403586,49650604,49898857,50148351,50399093,50651089
Kosovo,1.7,1.8,0.3,1700000,1705100,1710215,1715346,1720492,1725653,1730830,1736023,1741231,1746455,1751694,1756949,1762220,1767507,1772809,1778128
Kuwait,2,4.2,3.8,2000000,2076000,2154888,2236774,2321771,2409998,2501578,2596638,2695311,2797732,2904046,3014400,3128947,3247847,3371265,3499373
Kyrgyz Republic,4.9,6.5,1.5,4900000,4973500,5048103,5123824,5200681,5278692,5357872,5438240,5519814,5602611,5686650,5771950,5858529,5946407,6035603,6126137
Lao PDR,5.3,7.2,1.6,5300000,5384800,5470957,5558492,5647428,5737787,5829591,5922865,6017631,6113913,6211735,6311123,6412101,6514695,6618930,6724833
Latvia,2.4,1.9,-1.1,2400000,2373600,2347490,2321668,2296130,2270872,2245893,2221188,2196755,2172590,2148692,2125056,2101681,2078562,2055698,2033085
Lebanon,3.8,6.9,3,3800000,3914000,4031420,4152363,4276933,4405241,4537399,4673521,4813726,4958138,5106882,5260089,5417891,5580428,5747841,5920276
